"name","url"
"Aalen, Odd Olai","https://en.wikipedia.org/wiki/Odd_Aalen"
"Abbott, Edith","https://en.wikipedia.org/wiki/Edith_Abbott"
"Abelson, Robert P.","https://en.wikipedia.org/wiki/Robert_P._Abelson"
"Abramovitz, Moses","https://en.wikipedia.org/wiki/Moses_Abramovitz"
"Achenwall, Gottfried","https://en.wikipedia.org/wiki/Gottfried_Achenwall"
"Adelstein, Abraham Manie","https://en.wikipedia.org/wiki/Abraham_Manie_Adelstein"
"Ahsan, Riaz","https://en.wikipedia.org/wiki/Riaz_Ahsan"
"Aitchison, John","https://en.wikipedia.org/wiki/John_Aitchison"
"Aitken, Alexander","https://en.wikipedia.org/wiki/Alexander_Aitken"
"Akaike, Hirotsugu","https://en.wikipedia.org/wiki/Hirotsugu_Akaike"
"Ali, Mir Masoom","https://en.wikipedia.org/wiki/Mir_Masoom_Ali"
"Allen, R. G. D.","https://en.wikipedia.org/wiki/R._G._D._Allen"
"Allison, David B.","https://en.wikipedia.org/wiki/David_B._Allison"
"Altman, Doug","https://en.wikipedia.org/wiki/Doug_Altman"
"Amemiya, Takeshi","https://en.wikipedia.org/wiki/Takeshi_Amemiya"
"Anderson, Oskar","https://en.wikipedia.org/wiki/Oskar_Anderson"
"Anderson, Theodore Wilbur","https://en.wikipedia.org/wiki/Theodore_Wilbur_Anderson"
"Anscombe, Francis","https://en.wikipedia.org/wiki/Francis_Anscombe"
"Anselin, Luc","https://en.wikipedia.org/wiki/Luc_Anselin"
"Armitage, Peter","https://en.wikipedia.org/wiki/Peter_Armitage"
"Arrow, Kenneth","https://en.wikipedia.org/wiki/Kenneth_Arrow"
"Ashley-Cooper, Anthony","https://en.wikipedia.org/wiki/Anthony_Ashley-Cooper,_7th_Earl_of_Shaftesbury"
"Austin, Oscar Phelps","https://en.wikipedia.org/wiki/Oscar_Phelps_Austin"
"Ayres, Leonard Porter","https://en.wikipedia.org/wiki/Leonard_Porter_Ayres"
"Bahadur, Raghu Raj","https://en.wikipedia.org/wiki/Raghu_Raj_Bahadur"
"Balding, David","https://en.wikipedia.org/wiki/David_Balding"
"Barnard, George Alfred","https://en.wikipedia.org/wiki/George_Alfred_Barnard"
"Barnett, William A.","https://en.wikipedia.org/wiki/William_A._Barnett"
"Bartels, Julius","https://en.wikipedia.org/wiki/Julius_Bartels"
"Bartlett, M. S.","https://en.wikipedia.org/wiki/M._S._Bartlett"
"Bascand, Geoff","https://en.wikipedia.org/wiki/Geoff_Bascand"
"Basu, Debabrata","https://en.wikipedia.org/wiki/Debabrata_Basu"
"Baxter, Laurence","https://en.wikipedia.org/wiki/Laurence_Baxter"
"Bayes, Thomas","https://en.wikipedia.org/wiki/Thomas_Bayes"
"Beale, Calvin","https://en.wikipedia.org/wiki/Calvin_Beale"
"Behm, Ernst","https://en.wikipedia.org/wiki/Ernst_Behm"
"Benjamin, Bernard","https://en.wikipedia.org/wiki/Bernard_Benjamin"
"Benzécri, Jean-Paul","https://en.wikipedia.org/wiki/Jean-Paul_Benz%C3%A9cri"
"Berger, James","https://en.wikipedia.org/wiki/James_Berger_(statistician)"
"Berkson, Joseph","https://en.wikipedia.org/wiki/Joseph_Berkson"
"Bernardo, José-Miguel","https://en.wikipedia.org/wiki/Jos%C3%A9-Miguel_Bernardo"
"Berry, Don","https://en.wikipedia.org/wiki/Don_Berry_(statistician)"
"Best, Alfred M.","https://en.wikipedia.org/wiki/Alfred_M._Best"
"Beveridge, William","https://en.wikipedia.org/wiki/William_Beveridge"
"Bhat, B. R.","https://en.wikipedia.org/wiki/B._R._Bhat"
"Bhat, P. N. Mari","https://en.wikipedia.org/wiki/P._N._Mari_Bhat"
"Bhat, U. Narayan","https://en.wikipedia.org/wiki/U._Narayan_Bhat"
"Bienaymé, Irénée-Jules","https://en.wikipedia.org/wiki/Ir%C3%A9n%C3%A9e-Jules_Bienaym%C3%A9"
"Bingham, Christopher","https://en.wikipedia.org/wiki/Christopher_Bingham"
"Birnbaum, Allan","https://en.wikipedia.org/wiki/Allan_Birnbaum"
"Bisika, Thomas John","https://en.wikipedia.org/wiki/Thomas_John_Bisika"
"Blackwell, David","https://en.wikipedia.org/wiki/David_Blackwell"
"Bliss, Chester Ittner","https://en.wikipedia.org/wiki/Chester_Ittner_Bliss"
"Block, Maurice","https://en.wikipedia.org/wiki/Maurice_Block"
"Bloom, David E.","https://en.wikipedia.org/wiki/David_E._Bloom"
"Bodio, Luigi","https://en.wikipedia.org/wiki/Luigi_Bodio"
"Bodmer, Walter","https://en.wikipedia.org/wiki/Walter_Bodmer"
"Bonferroni, Carlo Emilio","https://en.wikipedia.org/wiki/Carlo_Emilio_Bonferroni"
"Booth, Charles","https://en.wikipedia.org/wiki/Charles_Booth_(philanthropist)"
"Boreham, John","https://en.wikipedia.org/wiki/John_Boreham"
"Bortkiewicz, Ladislaus","https://en.wikipedia.org/wiki/Ladislaus_Bortkiewicz"
"Bose, R. C.","https://en.wikipedia.org/wiki/R._C._Bose"
"Botha, Roelof","https://en.wikipedia.org/wiki/Roelof_Botha"
"Bottou, Léon","https://en.wikipedia.org/wiki/L%C3%A9on_Bottou"
"Bowley, Arthur Lyon","https://en.wikipedia.org/wiki/Arthur_Lyon_Bowley"
"Box, George E. P.","https://en.wikipedia.org/wiki/George_E._P._Box"
"Boyle, Phelim","https://en.wikipedia.org/wiki/Phelim_Boyle"
"Brad, Ion Ionescu de la","https://en.wikipedia.org/wiki/Ion_Ionescu_de_la_Brad"
"Brassey, Thomas","https://en.wikipedia.org/wiki/Thomas_Brassey,_1st_Earl_Brassey"
"Breiman, Leo","https://en.wikipedia.org/wiki/Leo_Breiman"
"Breslow, Norman","https://en.wikipedia.org/wiki/Norman_Breslow"
"Brooks, Steve","https://en.wikipedia.org/wiki/Steve_Brooks_(statistician)"
"Brown, Lawrence D.","https://en.wikipedia.org/wiki/Lawrence_D._Brown"
"Burgess, Warren Randolph","https://en.wikipedia.org/wiki/Warren_Randolph_Burgess"
"Buzek, Józef","https://en.wikipedia.org/wiki/J%C3%B3zef_Buzek"
"Cai, T. Tony","https://en.wikipedia.org/wiki/T._Tony_Cai"
"Caird, James","https://en.wikipedia.org/wiki/James_Caird_(agricultural_writer)"
"Caldwell, John","https://en.wikipedia.org/wiki/John_Caldwell_(demographer)"
"Cam, Lucien Le","https://en.wikipedia.org/wiki/Lucien_Le_Cam"
"Campion, Harry","https://en.wikipedia.org/wiki/Harry_Campion"
"Candès, Emmanuel","https://en.wikipedia.org/wiki/Emmanuel_Cand%C3%A8s"
"Carver, Harry C.","https://en.wikipedia.org/wiki/Harry_C._Carver"
"Castles, Ian","https://en.wikipedia.org/wiki/Ian_Castles"
"Chakrabarti, M. C.","https://en.wikipedia.org/wiki/M._C._Chakrabarti"
"Chalmers, George","https://en.wikipedia.org/wiki/George_Chalmers_(antiquarian)"
"Chambers, John M.","https://en.wikipedia.org/wiki/John_Chambers_(statistician)"
"Champernowne, D. G.","https://en.wikipedia.org/wiki/D._G._Champernowne"
"Chand, Rattan","https://en.wikipedia.org/wiki/Rattan_Chand"
"Charles, Enid","https://en.wikipedia.org/wiki/Enid_Charles"
"Charlier, Carl","https://en.wikipedia.org/wiki/Carl_Charlier"
"Chebyshev, Pafnuty","https://en.wikipedia.org/wiki/Pafnuty_Chebyshev"
"Chen, Louis Hsiao Yun","https://en.wikipedia.org/wiki/Louis_Chen_Hsiao_Yun"
"Chernoff, Herman","https://en.wikipedia.org/wiki/Herman_Chernoff"
"Chervonenkis, Alexey","https://en.wikipedia.org/wiki/Alexey_Chervonenkis"
"Chow, Yuan-Shih","https://en.wikipedia.org/wiki/Yuan-Shih_Chow"
"Chuprov, Alexander Alexandrovich","https://en.wikipedia.org/wiki/Alexander_Alexandrovich_Chuprov"
"Chuprov, Alexander Ivanovich","https://en.wikipedia.org/wiki/Alexander_Ivanovich_Chuprov"
"Clark, Colin","https://en.wikipedia.org/wiki/Colin_Clark_(economist)"
"Clarke, Richard W. B.","https://en.wikipedia.org/wiki/Richard_W._B._Clarke"
"Clayton, David","https://en.wikipedia.org/wiki/David_Clayton"
"Coale, Ansley J.","https://en.wikipedia.org/wiki/Ansley_J._Coale"
"Coats, Robert H.","https://en.wikipedia.org/wiki/Robert_H._Coats"
"Cochran, William Gemmell","https://en.wikipedia.org/wiki/William_Gemmell_Cochran"
"Cockfield, Arthur","https://en.wikipedia.org/wiki/Arthur_Cockfield,_Baron_Cockfield"
"Coghlan, Timothy Augustine","https://en.wikipedia.org/wiki/Timothy_Augustine_Coghlan"
"Cohen, Jacob","https://en.wikipedia.org/wiki/Jacob_Cohen_(statistician)"
"Cohen, Joel E.","https://en.wikipedia.org/wiki/Joel_E._Cohen"
"Coifman, Ronald","https://en.wikipedia.org/wiki/Ronald_Coifman"
"Coleman, David","https://en.wikipedia.org/wiki/David_Coleman_(academic)"
"Cook, Len","https://en.wikipedia.org/wiki/Len_Cook"
"Cordeiro, Gauss Moutinho","https://en.wikipedia.org/wiki/Gauss_Moutinho_Cordeiro"
"Cornfield, Jerome","https://en.wikipedia.org/wiki/Jerome_Cornfield"
"Courtney, Leonard","https://en.wikipedia.org/wiki/Leonard_Courtney,_1st_Baron_Courtney_of_Penwith"
"Cover, Thomas M.","https://en.wikipedia.org/wiki/Thomas_M._Cover"
"Cox, David","https://en.wikipedia.org/wiki/David_Cox_(statistician)"
"Cox, Gertrude Mary","https://en.wikipedia.org/wiki/Gertrude_Mary_Cox"
"Cox, Richard Threlkeld","https://en.wikipedia.org/wiki/Richard_Threlkeld_Cox"
"Cramér, Harald","https://en.wikipedia.org/wiki/Harald_Cram%C3%A9r"
"Crome, August Friedrich Wilhelm","https://en.wikipedia.org/wiki/August_Friedrich_Wilhelm_Crome"
"Crosby, James","https://en.wikipedia.org/wiki/James_Crosby_(British_businessman)"
"Cudmore, Sedley","https://en.wikipedia.org/wiki/Sedley_Cudmore"
"Cunliffe, Stella","https://en.wikipedia.org/wiki/Stella_Cunliffe"
"Czekanowski, Jan","https://en.wikipedia.org/wiki/Jan_Czekanowski"
"Daniels, Henry","https://en.wikipedia.org/wiki/Henry_Daniels"
"Dantzig, David van","https://en.wikipedia.org/wiki/David_van_Dantzig"
"Dantzig, George","https://en.wikipedia.org/wiki/George_Dantzig"
"Darwin, John","https://en.wikipedia.org/wiki/John_Darwin_(statistician)"
"David, Florence Nightingale","https://en.wikipedia.org/wiki/Florence_Nightingale_David"
"Davies, Griffith","https://en.wikipedia.org/wiki/Griffith_Davies"
"Davis, Kingsley","https://en.wikipedia.org/wiki/Kingsley_Davis"
"Dawid, Philip","https://en.wikipedia.org/wiki/Philip_Dawid"
"Daykin, Christopher","https://en.wikipedia.org/wiki/Christopher_Daykin"
"DeGroot, Morris H.","https://en.wikipedia.org/wiki/Morris_H._DeGroot"
"Deming, W. Edwards","https://en.wikipedia.org/wiki/W._Edwards_Deming"
"Dempster, Arthur P.","https://en.wikipedia.org/wiki/Arthur_P._Dempster"
"Desrosières, Alain","https://en.wikipedia.org/wiki/Alain_Desrosi%C3%A8res"
"Dewey, Davis Rich","https://en.wikipedia.org/wiki/Davis_Rich_Dewey"
"Diaconis, Persi","https://en.wikipedia.org/wiki/Persi_Diaconis"
"Dilke, Sir Charles","https://en.wikipedia.org/wiki/Sir_Charles_Dilke,_2nd_Baronet"
"Dodge, Harold F.","https://en.wikipedia.org/wiki/Harold_F._Dodge"
"Dodson, James","https://en.wikipedia.org/wiki/James_Dodson"
"Doll, Sir Richard","https://en.wikipedia.org/wiki/Richard_Doll"
"Donnelly, Peter","https://en.wikipedia.org/wiki/Peter_Donnelly"
"Donoho, David","https://en.wikipedia.org/wiki/David_Donoho"
"Doob, Joseph Leo","https://en.wikipedia.org/wiki/Joseph_Leo_Doob"
"Dublin, Louis Israel","https://en.wikipedia.org/wiki/Louis_Israel_Dublin"
"Duckworth, Frank","https://en.wikipedia.org/wiki/Frank_Duckworth"
"Dudley, Richard M.","https://en.wikipedia.org/wiki/Richard_M._Dudley"
"Duncan, David F.","https://en.wikipedia.org/wiki/David_F._Duncan"
"Duncan, Otis Dudley","https://en.wikipedia.org/wiki/Otis_Dudley_Duncan"
"Dunn, Halbert L.","https://en.wikipedia.org/wiki/Halbert_L._Dunn"
"Dunnell, Karen","https://en.wikipedia.org/wiki/Karen_Dunnell"
"Dunnett, Charles","https://en.wikipedia.org/wiki/Charles_Dunnett"
"Durbin, James","https://en.wikipedia.org/wiki/James_Durbin"
"Dvoretzky, Aryeh","https://en.wikipedia.org/wiki/Aryeh_Dvoretzky"
"Easton, Brian","https://en.wikipedia.org/wiki/Brian_Easton_(economist)"
"Eckler, A. Ross","https://en.wikipedia.org/wiki/A._Ross_Eckler"
"Eckler, A. Ross Jr.","https://en.wikipedia.org/wiki/A._Ross_Eckler,_Jr."
"Eden, Sir Frederick","https://en.wikipedia.org/wiki/Sir_Frederick_Eden,_2nd_Baronet"
"Edgeworth, Francis Ysidro","https://en.wikipedia.org/wiki/Francis_Ysidro_Edgeworth"
"Edwards, A. W. F.","https://en.wikipedia.org/wiki/A._W._F._Edwards"
"Efron, Bradley","https://en.wikipedia.org/wiki/Bradley_Efron"
"Eisenhart, Churchill","https://en.wikipedia.org/wiki/Churchill_Eisenhart"
"Elderton, Ethel M.","https://en.wikipedia.org/wiki/Ethel_M._Elderton"
"Elderton, William Palin","https://en.wikipedia.org/wiki/William_Palin_Elderton"
"Elston, Robert C.","https://en.wikipedia.org/wiki/Robert_C._Elston"
"Engel, Ernst","https://en.wikipedia.org/wiki/Ernst_Engel"
"Engle, Robert F.","https://en.wikipedia.org/wiki/Robert_F._Engle"
"Erlang, A. K.","https://en.wikipedia.org/wiki/Agner_Krarup_Erlang"
"Erritt, John","https://en.wikipedia.org/wiki/John_Erritt"
"Ezekiel, Mordecai","https://en.wikipedia.org/wiki/Mordecai_Ezekiel"
"Fabri, Johann Ernst","https://en.wikipedia.org/wiki/Johann_Ernst_Fabri"
"Fallati, Johannes","https://en.wikipedia.org/wiki/Johannes_Fallati"
"Fan, Jianqing","https://en.wikipedia.org/wiki/Jianqing_Fan"
"Farr, William","https://en.wikipedia.org/wiki/William_Farr"
"Farrer, Thomas","https://en.wikipedia.org/wiki/Thomas_Farrer,_1st_Baron_Farrer"
"Fechner, Gustav","https://en.wikipedia.org/wiki/Gustav_Fechner"
"Fellegi, Ivan","https://en.wikipedia.org/wiki/Ivan_Fellegi"
"Feller, William","https://en.wikipedia.org/wiki/William_Feller"
"Fernique, Xavier","https://en.wikipedia.org/wiki/Xavier_Fernique"
"Fienberg, Stephen","https://en.wikipedia.org/wiki/Stephen_Fienberg"
"Finetti, Bruno de","https://en.wikipedia.org/wiki/Bruno_de_Finetti"
"Finlaison, John","https://en.wikipedia.org/wiki/John_Finlaison_(Finlayson)"
"Finney, D. J.","https://en.wikipedia.org/wiki/D._J._Finney"
"Fisher, Irving","https://en.wikipedia.org/wiki/Irving_Fisher"
"Fisher, Sir Ronald A.","https://en.wikipedia.org/wiki/Ronald_Fisher"
"Fleetwood, William","https://en.wikipedia.org/wiki/William_Fleetwood"
"Fleiss, Joseph L.","https://en.wikipedia.org/wiki/Joseph_L._Fleiss"
"Flux, A. William","https://en.wikipedia.org/wiki/A._William_Flux"
"Foot, David","https://en.wikipedia.org/wiki/David_Foot_(economist)"
"Fowler, Henry","https://en.wikipedia.org/wiki/Henry_Fowler,_1st_Viscount_Wolverhampton"
"Fox, John","https://en.wikipedia.org/wiki/John_Fox_(statistician)"
"Frankel, Lester","https://en.wikipedia.org/wiki/Lester_Frankel"
"Franscini, Stefano","https://en.wikipedia.org/wiki/Stefano_Franscini"
"Freedman, David A.","https://en.wikipedia.org/wiki/David_A._Freedman_(statistician)"
"Freedman, Ronald","https://en.wikipedia.org/wiki/Ronald_Freedman"
"Friedman, Milton","https://en.wikipedia.org/wiki/Milton_Friedman"
"Frigessi, Arnoldo di Rattalma","https://en.wikipedia.org/wiki/Arnoldo_Frigessi"
"Gain, Anil Kumar","https://en.wikipedia.org/wiki/Anil_Kumar_Gain"
"Gallant, A. Ronald","https://en.wikipedia.org/wiki/A._Ronald_Gallant"
"Gallup, George","https://en.wikipedia.org/wiki/George_Gallup"
"Galton, Francis","https://en.wikipedia.org/wiki/Francis_Galton"
"Gauquelin, Michel","https://en.wikipedia.org/wiki/Michel_Gauquelin"
"Geary, Roy C.","https://en.wikipedia.org/wiki/Roy_C._Geary"
"Geisser, Seymour","https://en.wikipedia.org/wiki/Seymour_Geisser"
"Geman, Donald","https://en.wikipedia.org/wiki/Donald_Geman"
"Ghosh, Jayanta Kumar","https://en.wikipedia.org/wiki/Jayanta_Kumar_Ghosh"
"Ghysels, Eric","https://en.wikipedia.org/wiki/Eric_Ghysels"
"Giblin, Lyndhurst","https://en.wikipedia.org/wiki/Lyndhurst_Giblin"
"Giffen, Robert","https://en.wikipedia.org/wiki/Robert_Giffen"
"Gill, Richard D.","https://en.wikipedia.org/wiki/Richard_D._Gill"
"Gini, Corrado","https://en.wikipedia.org/wiki/Corrado_Gini"
