name,date of birth,country of citizenship,sex or gender,AGORHA person/institution ID,Academic Tree ID,Australian Dictionary of Biography ID,BAV ID,BHL creator ID,BIBSYS ID,BNA authority ID,BNE ID,BVMC person ID,Babelio author ID,Bait La Zemer Ha-Ivri artist ID,Biografisch Portaal number,BnF ID,British Museum person-institution,C-SPAN person ID,CANTIC-ID,CERL ID,CONOR ID,CRIStin ID,CTHS person ID,Cambridge Alumni Database ID,Catalogus Professorum Academiae Rheno-Traiectinae ID,Catalogus Professorum Lipsiensis ID,Catalogus Professorum Rostochiensium ID,CiNii author ID,Commons Creator page,Commons category,Commons gallery,Cultureel Woordenboek identifier,DAAO ID,DBLP ID,DBNL author ID,Dialnet author ID,Dictionary of New Zealand Biography,Dictionary of Swedish National Biography,Dictionary of Welsh Biography ID,Discogs artist ID,Dizionario Biografico degli Italiani,EGAXA ID,EMLO person ID,ESPNcricinfo.com player ID,Electronic Enlightenment ID,Enciclopedia Treccani ID,Encyclopedia of Australian Science ID,Encyclopædia Britannica Online ID,Erdős number,FAST ID,Facebook profile ID,Fellow of the Royal Society ID,Filmportal ID,Find a Grave grave ID,Freebase ID,GND ID,GTAA ID,Geni.com profile ID,Goodreads author ID,Google Scholar author ID,Gran Enciclopèdia Catalana ID,Great Russian Encyclopedia Online ID,HDS ID,Hansard (1803–2005) ID,History of Modern Biomedicine ID,History of Parliament ID,IMDb ID,IPA transcription,IPNI author ID,ISNI,InPhO ID,Italian Chamber of Deputies dati ID,Jewish Encyclopedia ID (Russian),KNAW past member ID,KVAB member ID,Kindred Britain ID,LAC ID,LNB ID,Legacies of British Slave-ownership person ID,Leidse Hoogleraren ID,Leopoldina member ID,Les Archives du Spectacle ID,Library of Congress authority ID,LibriVox author ID,Loop ID,Léonore ID,MacTutor id (biographies),Marburger Professorenkatalog ID,MathWorld identifier,Mathematics Genealogy Project ID,Munk's Roll ID,Munzinger IBA,MusicBrainz artist ID,Musée d'Orsay artist ID,NDL Auth ID,NE.se ID,NKCR AUT ID,NLA (Australia) ID,NLP ID,NLR (Romania) ID,NNDB people ID,NSK ID,NSZL ID,NUKAT (WarsawU) authorities,National Academy of Medicine (France) MemberID,National Inventors Hall of Fame ID,National Library of Greece ID,National Library of Ireland authority,National Library of Israel ID,National Portrait Gallery (London) person ID,National Thesaurus for Author Names ID,Nobel Prize People Nomination ID,Nobel prize ID,ODIS ID,ORCID iD,Open Library ID,OpenPlaques subject ID,Oxford Biography Index Number,PTBNP ID,Parlement & Politiek ID,People Australia ID,Perlentaucher ID,Persée author ID,Photographers' Identities Catalog ID,Plarr ID,Polish scientist ID,Project Gutenberg author ID,Quora topic ID,RERO ID,RKDartists ID,RSL ID (person),RePEc Short-ID,ResearcherID,Rodovid ID,SBN ID,SELIBR,SHARE Catalogue author ID,SNAC ID,SSRN author ID,SUDOC authorities,Sandrart.net person ID,Saxon Academy of Sciences member ID,Scopus Author ID,Shakeosphere person ID,Six Degrees of Francis Bacon ID,Social Networks and Archival Context ID,Spenserians person ID,Sports-Reference.com Olympic athlete ID,Stanford Encyclopedia of Philosophy ID,Stuttgart Database of Scientific Illustrators ID,Swiss Federal Archives ID,Sächsische Biografie,TED speaker ID,Te Papa artist ID,Teuchos ID,Treccani ID,Twitter username,UK National Archives ID,ULAN ID,University of Barcelona authority ID,VIAF ID,Vimeo username,WeRelate person ID,Who's Who in France biography ID,WikiTree ID,WomenWriters ID,World Bridge Federation ID,YouTube channel ID,academic degree,affiliation,allegiance,archives at,audio recording of the subject's spoken voice,author citation (zoology),award received,birth name,botanist author abbreviation,cause of death,child,commemorative plaque image,conflict,contributed to published work,date of death,described at URL,described by source,doctoral advisor,doctoral student,educated at,electoral district,employer,ethnic group,family name,father,feed URL,field of work,genealogics.org person ID,given name,image,image of grave,influenced by,instance of,"languages spoken, written or signed",links,list of works,manner of death,medical condition,member of,member of political party,member of sports team,military branch,mother,name in kana,name in native language,native language,noble title,nominated for,notable work,occupation,official website,openMLOL author ID,parliament.uk ID,part of,participant of,place of birth,place of death,place of detention,place of interment,place of origin (Switzerland),position held,religion,residence,sibling,signature,significant event,sport,spouse,student,student of,student register of the University of Helsinki ID (1853–1899),taxon range map image,topic's main category,warheroes.ru ID,work location,zbMATH author ID
"Khattree, Ravindra",[1959],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1723 2009],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[47929],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[292330855],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[073451657],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[165860545],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[University of Pittsburgh],NA,NA,NA,NA,NA,NA,NA,NA,[Ravindra],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q7296731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jöreskog, Karl Gustav",[25 April 1935],[Sweden],[male],NA,[689555],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[45943],NA,NA,NA,NA,[/m/04q9s7d],[170170578],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1804 0818],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n79134150],NA,NA,NA,NA,NA,NA,[129042],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[071523456],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[057112827],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[35619864],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Herman Wold],NA,[Uppsala University],NA,[Uppsala University],NA,NA,NA,NA,NA,NA,[Karl],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q324077,NA,NA,NA,"[Royal Swedish Academy of Sciences, Finnish Society of Sciences and Letters]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[statistician, university teacher, economist]",NA,NA,NA,NA,NA,[Åmål],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Altman, Doug",[12 July 1948],[United Kingdom],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12376200d],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[_QnLm3kAAAAJ],NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1042 3988],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[96120],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[032803273],NA,NA,NA,NA,NA,[w6t854rf],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[19758008],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[University of Bath],NA,[University of Oxford],NA,NA,NA,NA,NA,NA,[Doug],[Doug altman.jpeg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q5300242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[statistician],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cox, Gertrude Mary",[13 January 1900Gregorian],[United States of America],[female],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[123713981],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[317552],NA,NA,NA,NA,[/m/06rzp4],[138104166],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 1764 6439],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n93018522],NA,NA,NA,[Cox],NA,NA,[89293],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[OL2736728A],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[3180],NA,NA,[073272205],NA,NA,NA,NA,NA,[w6pw0dpx],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[56689087],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[leukemia],NA,NA,NA,NA,[17 October 1978],NA,NA,NA,NA,"[University of California, Berkeley, Iowa State University]",NA,[North Carolina State University],NA,[Cox],NA,NA,NA,NA,[Gertrude],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q450290,NA,NA,NA,"[National Academy of Sciences, International Biometric Society]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, statistician, university teacher]",NA,NA,NA,NA,NA,[Dayton],[Durham],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marpsat, Maryse",[1951],[France],[female],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[120884693],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0000 0016 5244],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[81326],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[029210623],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[9874049],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[School for Advanced Studies in the Social Sciences],NA,NA,NA,NA,NA,NA,[Maryse],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q3296345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[sociologist, statistician]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cunliffe, Stella",[12 January 1917Gregorian],[United Kingdom],[female],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Member of the Order of the British Empire],NA,NA,NA,NA,NA,NA,NA,[20 January 2012],NA,NA,NA,NA,[London School of Economics],NA,NA,NA,NA,NA,NA,NA,NA,[Stella],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q7607052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[mathematician, statistician]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindstrom, Frederick B.",[8 June 1915Gregorian],[United States of America],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[65705605],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[8 January 1998],NA,NA,NA,NA,[University of Chicago],NA,[Arizona State University],NA,NA,NA,NA,NA,NA,[Frederick],NA,NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q5497314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[statistician, sociologist, demographer]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bayes, Thomas","[1701, 1702]",[United Kingdom],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[12290871c],NA,NA,[a11413207],[cnp00581295],NA,NA,NA,NA,NA,NA,NA,NA,NA,[Thomas Bayes],[Thomas Bayes],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[biography/Thomas-Bayes],NA,[1807131],NA,NA,NA,NA,[/m/013447],[118657674],NA,NA,NA,NA,[0008429],NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 2029 1544],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n82139366],NA,NA,NA,[Bayes],NA,NA,[48331],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[448/000141025],NA,NA,NA,NA,NA,NA,NA,NA,NA,[074066110],NA,NA,NA,NA,NA,[4461],[101037166],NA,NA,NA,NA,NA,NA,NA,NA,NA,[Thomas-Bayes-1],NA,NA,NA,NA,NA,NA,NA,NA,[19787],NA,NA,[031751237],NA,NA,NA,[2359],NA,[w68t8hwg],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[79087234],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Fellow of the Royal Society],NA,NA,NA,NA,NA,NA,NA,"[7 April 1761Gregorian, 17 April 1761Gregorian]",NA,NA,NA,NA,[University of Edinburgh],NA,NA,NA,NA,NA,NA,[probability theory],NA,[Thomas],[Thomas Bayes.gif],NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q208452,NA,NA,NA,[Royal Society],NA,NA,NA,NA,NA,[Reverend Thomas Bayes (English)],NA,NA,NA,NA,"[mathematician, statistician, cleric]",NA,NA,NA,NA,NA,[London],[Royal Tunbridge Wells],NA,[Bunhill Fields],NA,NA,NA,NA,NA,[Bayes sig.png],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[bayes.thomas]
"Hill, Austin Bradford",[8 July 1897Gregorian],[United Kingdom],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Austin Bradford Hill],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[/m/03xghn],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[0000 0001 2281 5508],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[n50034858],NA,NA,NA,NA,NA,NA,NA,"[508, withdrawn identifier value, 2186]",NA,NA,NA,NA,NA,NA,[35194320],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[101040423],NA,NA,[859924],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[149751567],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[70173394],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[Fellow of the Royal Society],NA,NA,NA,NA,NA,NA,NA,[18 April 1991],NA,NA,NA,NA,NA,NA,NA,NA,[Hill],NA,NA,NA,NA,[Austin],[Austin Bradford Hill.jpg],NA,NA,[human],NA,https://www.wikidata.org/wiki/Special:EntityPage/Q710677,NA,NA,NA,[Royal Society],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[statistician, epidemiologist]",NA,NA,NA,NA,NA,[London],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marquis, Frederick",[23 August 1883Gregorian],[United Kingdom],[male],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[10130979q],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[/m/04f3zc],[1037377788],NA,NA,NA,NA,NA,NA,NA,[mr-frederick-marquis],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[no2010158754],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[072144823],NA,NA,NA,NA,NA,NA,[101034885],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[160129796],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[142320311],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[14 December 1964],NA,NA,NA,NA,[Manchester Grammar School],NA,NA,NA,NA,NA,NA,NA,NA,[Frederick],[1st Earl of Woolton 1947.jpg],NA,NA,[human],[English],https://www.wikidata.org/wiki/Special:EntityPage/Q335703,NA,NA,NA,NA,[Conservative Party],NA,NA,NA,NA,NA,NA,NA,NA,NA,"[politician, entrepreneur, statistician, merchant]",NA,NA,NA,NA,NA,[Liverpool],[Arundel],NA,NA,NA,"[Lord President of the Council, Member of the Privy Council of the United Kingdom]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
